Departing,arriving,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Seats,Year
ALBURY,SYDNEY,Jan-24,10938,308,60.9,452,17969,2024
ADELAIDE,ALICE SPRINGS,Jan-24,7658,156,58.4,1316,13123,2024
ADELAIDE,BRISBANE,Jan-24,72443,730,75.7,1622,95758,2024
ADELAIDE,CANBERRA,Jan-24,11157,151,68,972,16419,2024
ADELAIDE,CAIRNS,Jan-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Jan-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Jan-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Jan-24,187761,1380,82.2,643,228339,2024
ADELAIDE,GOLD COAST,Jan-24,26581,170,83.1,1607,31998,2024
ADELAIDE,PERTH,Jan-24,58148,429,76.7,2120,75764,2024
ADELAIDE,PORT LINCOLN,Jan-24,13866,552,61.1,246,22677,2024
ADELAIDE,SYDNEY,Jan-24,157687,1218,78.3,1167,201448,2024
ARMIDALE,SYDNEY,Jan-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Jan-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Jan-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Jan-24,0,0,0,2022,0,2024
AYERS ROCK,SYDNEY,Jan-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Jan-24,8832,201,66.6,287,13254,2024
BROOME,PERTH,Jan-24,22222,224,68.9,1677,32240,2024
BRISBANE,CANBERRA,Jan-24,42870,476,74.9,956,57211,2024
BRISBANE,CAIRNS,Jan-24,90329,852,72.5,1391,124634,2024
BRISBANE,DARWIN,Jan-24,23717,249,74.4,2852,31874,2024
BRISBANE,EMERALD,Jan-24,13245,304,65,653,20392,2024
BRISBANE,GLADSTONE,Jan-24,15199,291,64.2,434,23692,2024
BRISBANE,HOBART,Jan-24,33297,257,76.9,1791,43292,2024
BRISBANE,HAMILTON ISLAND,Jan-24,12129,139,59.3,888,20440,2024
BRISBANE,MOUNT ISA,Jan-24,9650,174,50.3,1573,19172,2024
BRISBANE,LAUNCESTON,Jan-24,15334,118,78.1,1664,19636,2024
BRISBANE,MELBOURNE,Jan-24,265255,2045,75.9,1381,349526,2024
BRISBANE,MACKAY,Jan-24,51593,650,73.5,797,70219,2024
BRISBANE,MORANBAH,Jan-24,8913,220,53.8,780,16569,2024
BRISBANE,NEWCASTLE,Jan-24,37239,466,72.2,614,51591,2024
BRISBANE,PERTH,Jan-24,90452,615,82.9,3615,109173,2024
BRISBANE,PROSERPINE,Jan-24,23219,226,64.7,895,35860,2024
BRISBANE,ROCKHAMPTON,Jan-24,35887,578,72.1,518,49793,2024
BRISBANE,SYDNEY,Jan-24,316482,2466,79.1,753,400085,2024
BRISBANE,TOWNSVILLE,Jan-24,58948,629,68.4,1112,86241,2024
CANBERRA,MELBOURNE,Jan-24,72144,689,72.7,470,99197,2024
CANBERRA,GOLD COAST,Jan-24,15959,106,84.3,892,18928,2024
CANBERRA,SYDNEY,Jan-24,35474,932,63.2,236,56160,2024
COFFS HARBOUR,SYDNEY,Jan-24,15579,411,68.6,443,22720,2024
CAIRNS,MELBOURNE,Jan-24,72234,488,75.2,2311,96056,2024
CAIRNS,GOLD COAST,Jan-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Jan-24,75212,539,74.1,1971,101506,2024
CAIRNS,TOWNSVILLE,Jan-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Jan-24,11357,345,59,310,19242,2024
DEVONPORT,MELBOURNE,Jan-24,9135,301,65.7,412,13898,2024
DARWIN,MELBOURNE,Jan-24,21109,169,83.2,3131,25377,2024
DARWIN,PERTH,Jan-24,12294,109,72.9,2651,16868,2024
DARWIN,SYDNEY,Jan-24,0,0,0,3155,0,2024
GERALDTON,PERTH,Jan-24,7752,210,41.2,370,18820,2024
HOBART,MELBOURNE,Jan-24,136618,1063,72.9,618,187346,2024
HOBART,SYDNEY,Jan-24,78928,566,83.4,1039,94620,2024
HAMILTON ISLAND,MELBOURNE,Jan-24,0,0,0,1965,0,2024
HAMILTON ISLAND,SYDNEY,Jan-24,21296,160,75.3,1526,28284,2024
KALGOORLIE,PERTH,Jan-24,26578,328,53.1,538,50070,2024
KARRATHA,PERTH,Jan-24,44931,431,63.1,1250,71174,2024
LAUNCESTON,MELBOURNE,Jan-24,84734,856,71,476,119327,2024
LAUNCESTON,SYDNEY,Jan-24,34943,259,84.7,914,41240,2024
SUNSHINE COAST,MELBOURNE,Jan-24,79177,557,79.3,1454,99825,2024
SUNSHINE COAST,SYDNEY,Jan-24,71223,508,78.3,837,91005,2024
MELBOURNE,MILDURA,Jan-24,12585,353,69.4,457,18130,2024
MELBOURNE,NEWCASTLE,Jan-24,35428,275,79.1,836,44770,2024
MELBOURNE,GOLD COAST,Jan-24,217276,1518,79.7,1330,272693,2024
MELBOURNE,PERTH,Jan-24,171980,1161,85.1,2706,202176,2024
MELBOURNE,BALLINA,Jan-24,0,0,0,1274,0,2024
MELBOURNE,SYDNEY,Jan-24,650266,4428,84.8,706,767301,2024
MELBOURNE,TOWNSVILLE,Jan-24,0,0,0,2055,0,2024
GOLD COAST,SYDNEY,Jan-24,239183,1571,85.2,680,280620,2024
PERTH,PORT HEDLAND,Jan-24,37400,411,55,1312,67974,2024
PERTH,SYDNEY,Jan-24,143572,905,86.9,3284,165267,2024
PERTH,NEWMAN,Jan-24,28024,336,51.3,1019,54604,2024
PROSERPINE,SYDNEY,Jan-24,0,0,0,1517,0,2024
PORT MACQUARIE,SYDNEY,Jan-24,11540,321,60.9,321,18956,2024
BALLINA,SYDNEY,Jan-24,44633,366,83.4,612,53532,2024
SYDNEY,TAMWORTH,45292,0,0,0,320,0,2024
SYDNEY,TOWNSVILLE,45292,0,0,0,1690,0,2024
SYDNEY,WAGGA WAGGA,45292,9374,314,51.4,367,18253,2024
ALBURY,SYDNEY,Feb-24,12150,334,65.8,452,18468,2024
ADELAIDE,ALICE SPRINGS,Feb-24,7938,147,65.3,1316,12155,2024
ADELAIDE,BRISBANE,Feb-24,65440,680,73.6,1622,88891,2024
ADELAIDE,CANBERRA,Feb-24,14880,198,69.2,972,21515,2024
ADELAIDE,CAIRNS,Feb-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Feb-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Feb-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Feb-24,190851,1389,83.2,643,229444,2024
ADELAIDE,GOLD COAST,Feb-24,20449,116,86.7,1607,23584,2024
ADELAIDE,PERTH,Feb-24,54440,388,80.3,2120,67762,2024
ADELAIDE,PORT LINCOLN,Feb-24,14698,530,67.5,246,21773,2024
ADELAIDE,SYDNEY,Feb-24,146227,1063,84.7,1167,172669,2024
ARMIDALE,SYDNEY,Feb-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Feb-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Feb-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Feb-24,0,0,0,2022,0,2024
AYERS ROCK,SYDNEY,Feb-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Feb-24,10841,297,59.3,287,18278,2024
BROOME,PERTH,Feb-24,17595,185,65.1,1677,27048,2024
BRISBANE,CANBERRA,Feb-24,47349,553,67.8,956,69856,2024
BRISBANE,CAIRNS,Feb-24,89086,752,82.2,1391,108366,2024
BRISBANE,DARWIN,Feb-24,19828,217,75.8,2852,26146,2024
BRISBANE,EMERALD,Feb-24,14860,329,67.8,653,21932,2024
BRISBANE,GLADSTONE,Feb-24,17853,328,68.3,434,26140,2024
BRISBANE,HOBART,Feb-24,22514,168,87.2,1791,25832,2024
BRISBANE,HAMILTON ISLAND,Feb-24,11432,108,73.7,888,15519,2024
BRISBANE,MOUNT ISA,Feb-24,10096,163,53,1573,19052,2024
BRISBANE,LAUNCESTON,Feb-24,10771,80,79.6,1664,13528,2024
BRISBANE,MELBOURNE,Feb-24,259720,1906,81.2,1381,319658,2024
BRISBANE,MACKAY,Feb-24,57105,647,75.2,797,75976,2024
BRISBANE,MORANBAH,Feb-24,9948,223,59.5,780,16727,2024
BRISBANE,NEWCASTLE,Feb-24,39020,472,77,614,50689,2024
BRISBANE,PERTH,Feb-24,79583,559,84.2,3615,94534,2024
BRISBANE,PROSERPINE,Feb-24,18435,142,87.7,895,21016,2024
BRISBANE,ROCKHAMPTON,Feb-24,41234,645,74.2,518,55555,2024
BRISBANE,SYDNEY,Feb-24,345297,2512,84.3,753,409675,2024
BRISBANE,TOWNSVILLE,Feb-24,64892,620,76.1,1112,85233,2024
CANBERRA,MELBOURNE,Feb-24,83860,843,71.3,470,117619,2024
CANBERRA,GOLD COAST,Feb-24,13152,93,79.2,892,16614,2024
CANBERRA,SYDNEY,Feb-24,49809,1222,64,236,77871,2024
COFFS HARBOUR,SYDNEY,Feb-24,15774,364,76.6,443,20593,2024
CAIRNS,MELBOURNE,Feb-24,49658,291,87.1,2311,57038,2024
CAIRNS,GOLD COAST,Feb-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Feb-24,62910,378,86.8,1971,72440,2024
CAIRNS,TOWNSVILLE,Feb-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Feb-24,13254,416,60.6,310,21881,2024
DEVONPORT,MELBOURNE,Feb-24,9802,314,69.2,412,14165,2024
DARWIN,MELBOURNE,Feb-24,14515,120,86.1,3131,16851,2024
DARWIN,PERTH,Feb-24,10297,92,73.1,2651,14092,2024
DARWIN,SYDNEY,Feb-24,0,0,0,3155,0,2024
