Departing,arriving,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Seats,Year
CAIRNS,MELBOURNE,Jun-24,62678,349,92.6,2311,67705,2024
CAIRNS,GOLD COAST,Jun-24,0,0,0,1484,0,2024
CAIRNS,SYDNEY,Jun-24,74584,421,90.4,1971,82487,2024
CAIRNS,TOWNSVILLE,Jun-24,0,0,0,284,0,2024
DUBBO,SYDNEY,Jun-24,14531,449,62.1,310,23400,2024
DEVONPORT,MELBOURNE,Jun-24,9593,297,70,412,13699,2024
DARWIN,MELBOURNE,Jun-24,27350,170,90.3,3131,30286,2024
DARWIN,PERTH,Jun-24,18221,147,68.9,2651,26432,2024
DARWIN,SYDNEY,Jun-24,0,0,0,3155,0,2024
GERALDTON,PERTH,Jun-24,8757,201,46.8,370,18700,2024
HOBART,MELBOURNE,Jun-24,94826,761,79.5,618,119271,2024
HOBART,SYDNEY,Jun-24,55093,414,75.6,1039,72901,2024
HAMILTON ISLAND,MELBOURNE,Jun-24,0,0,0,1965,0,2024
HAMILTON ISLAND,SYDNEY,Jun-24,14750,121,69,1526,21370,2024
KALGOORLIE,PERTH,Jun-24,28338,356,54.2,538,52294,2024
KARRATHA,PERTH,Jun-24,50435,429,70.2,1250,71872,2024
LAUNCESTON,MELBOURNE,Jun-24,57324,585,79.9,476,71734,2024
LAUNCESTON,SYDNEY,Jun-24,21452,171,79.3,914,27055,2024
SUNSHINE COAST,MELBOURNE,Jun-24,55056,334,89.5,1454,61525,2024
SUNSHINE COAST,SYDNEY,Jun-24,54199,354,84.9,837,63849,2024
MELBOURNE,MILDURA,Jun-24,12733,388,77.1,457,16520,2024
MELBOURNE,NEWCASTLE,Jun-24,34517,288,78.7,836,43853,2024
MELBOURNE,GOLD COAST,Jun-24,163964,990,89.9,1330,182319,2024
MELBOURNE,PERTH,Jun-24,143845,1028,75.4,2706,190867,2024
MELBOURNE,BALLINA,Jun-24,0,0,0,1274,0,2024
MELBOURNE,SYDNEY,Jun-24,615282,4619,76.8,706,801688,2024
MELBOURNE,TOWNSVILLE,Jun-24,0,0,0,2055,0,2024
GOLD COAST,SYDNEY,Jun-24,190794,1292,83.3,680,229129,2024
PERTH,PORT HEDLAND,Jun-24,37804,373,63.8,1312,59260,2024
PERTH,SYDNEY,Jun-24,113113,758,78,3284,144979,2024
PERTH,NEWMAN,Jun-24,31134,324,60.1,1019,51780,2024
PROSERPINE,SYDNEY,Jun-24,0,0,0,1517,0,2024
PORT MACQUARIE,SYDNEY,Jun-24,13346,311,70.1,321,19038,2024
BALLINA,SYDNEY,Jun-24,35857,301,83.2,612,43082,2024
SYDNEY,TAMWORTH,45444,0,0,0,320,0,2024
SYDNEY,TOWNSVILLE,45444,0,0,0,1690,0,2024
SYDNEY,WAGGA WAGGA,45444,12982,394,59.3,367,21908,2024
ALBURY,SYDNEY,Jul-24,14953,390,72.1,452,20750,2024
ADELAIDE,ALICE SPRINGS,Jul-24,10754,180,69.9,1316,15392,2024
ADELAIDE,BRISBANE,Jul-24,75539,709,81.7,1622,92450,2024
ADELAIDE,CANBERRA,Jul-24,14682,199,67.6,972,21720,2024
ADELAIDE,CAIRNS,Jul-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Jul-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Jul-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Jul-24,191293,1437,81.5,643,234756,2024
ADELAIDE,GOLD COAST,Jul-24,23494,140,88.6,1607,26504,2024
ADELAIDE,PERTH,Jul-24,57761,429,78.2,2120,73870,2024
ADELAIDE,PORT LINCOLN,Jul-24,13438,580,56.2,246,23901,2024
ADELAIDE,SYDNEY,Jul-24,153443,1207,75.8,1167,202355,2024
ARMIDALE,SYDNEY,Jul-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Jul-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Jul-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Jul-24,0,0,0,2022,0,2024
AYERS ROCK,SYDNEY,Jul-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Jul-24,12608,318,65.5,287,19254,2024
BROOME,PERTH,Jul-24,38380,286,84.8,1677,45242,2024
BRISBANE,CANBERRA,Jul-24,56927,592,78.9,956,72106,2024
BRISBANE,CAIRNS,Jul-24,122403,960,90.8,1391,134736,2024
BRISBANE,DARWIN,Jul-24,37422,285,94,2852,39812,2024
BRISBANE,EMERALD,Jul-24,16807,368,60.8,653,27656,2024
BRISBANE,GLADSTONE,Jul-24,20122,346,67.4,434,29872,2024
BRISBANE,HOBART,Jul-24,23546,163,89.1,1791,26423,2024
BRISBANE,HAMILTON ISLAND,Jul-24,12785,116,79.1,888,16170,2024
BRISBANE,MOUNT ISA,Jul-24,13534,183,65.2,1573,20744,2024
BRISBANE,LAUNCESTON,Jul-24,12175,82,88.9,1664,13700,2024
BRISBANE,MELBOURNE,Jul-24,307664,2191,84.5,1381,364146,2024
BRISBANE,MACKAY,Jul-24,70402,640,81,797,86948,2024
BRISBANE,MORANBAH,Jul-24,10118,236,57.1,780,17715,2024
BRISBANE,NEWCASTLE,Jul-24,44650,455,82.4,614,54174,2024
BRISBANE,PERTH,Jul-24,89110,629,81.5,3615,109306,2024
BRISBANE,PROSERPINE,Jul-24,25010,166,93.2,895,26846,2024
BRISBANE,ROCKHAMPTON,Jul-24,51940,734,76.3,518,68112,2024
BRISBANE,SYDNEY,Jul-24,383884,2894,80.3,753,478172,2024
BRISBANE,TOWNSVILLE,Jul-24,90802,802,89.4,1112,101576,2024
CANBERRA,MELBOURNE,Jul-24,80866,746,70.3,470,114962,2024
CANBERRA,GOLD COAST,Jul-24,15371,96,89.6,892,17164,2024
CANBERRA,SYDNEY,Jul-24,54887,1296,59.7,236,91952,2024
